,timestamp_iso_x,opc_pm25_x,pm25_env_x,opc_pm10_x,pm10_env_x,id,timestamp_iso_y,opc_pm25_y,pm25_env_y,opc_pm10_y,pm10_env_y
166,2025-10-07 17:36:15+00:00,2.654,4.0,3.74,4.0,167,2025-10-07 17:36:19+00:00,2.961,9.0,4.712,9.0
167,2025-10-07 17:36:20+00:00,1.683,4.0,1.938,5.0,168,2025-10-07 17:36:24+00:00,3.006,9.0,6.408,9.0
168,2025-10-07 17:36:25+00:00,3.479,4.0,5.653,6.0,169,2025-10-07 17:36:29+00:00,2.126,9.0,2.389,9.0
169,2025-10-07 17:36:30+00:00,2.876,4.0,3.593,6.0,170,2025-10-07 17:36:34+00:00,2.099,9.0,2.949,9.0
170,2025-10-07 17:36:35+00:00,2.388,4.0,5.842,5.0,171,2025-10-07 17:36:39+00:00,3.301,8.0,9.928,8.0
171,2025-10-07 17:36:40+00:00,1.094,4.0,1.132,5.0,172,2025-10-07 17:36:44+00:00,2.787,7.0,10.271,7.0
172,2025-10-07 17:36:45+00:00,3.005,4.0,4.417,5.0,173,2025-10-07 17:36:49+00:00,2.723,7.0,4.42,7.0
173,2025-10-07 17:36:50+00:00,3.359,3.0,5.648,5.0,174,2025-10-07 17:36:54+00:00,3.184,7.0,10.514,7.0
174,2025-10-07 17:36:55+00:00,1.619,3.0,1.869,5.0,175,2025-10-07 17:36:59+00:00,4.069,7.0,7.211,7.0
175,2025-10-07 17:37:00+00:00,2.088,4.0,9.998,5.0,176,2025-10-07 17:37:04+00:00,3.515,8.0,13.266,8.0
176,2025-10-07 17:37:05+00:00,3.248,4.0,11.032,5.0,177,2025-10-07 17:37:09+00:00,2.331,8.0,8.968,8.0
177,2025-10-07 17:37:10+00:00,2.816,3.0,11.426,6.0,178,2025-10-07 17:37:14+00:00,3.687,8.0,13.694,8.0
178,2025-10-07 17:37:15+00:00,0.822,3.0,0.853,6.0,179,2025-10-07 17:37:19+00:00,2.796,8.0,3.87,9.0
179,2025-10-07 17:37:20+00:00,2.197,3.0,5.266,6.0,180,2025-10-07 17:37:24+00:00,3.041,8.0,24.134,9.0
180,2025-10-07 17:37:25+00:00,2.828,4.0,4.671,5.0,181,2025-10-07 17:37:29+00:00,3.469,7.0,10.41,8.0
181,2025-10-07 17:37:30+00:00,2.75,4.0,5.831,4.0,182,2025-10-07 17:37:34+00:00,1.76,8.0,1.976,8.0
182,2025-10-07 17:37:35+00:00,1.639,3.0,1.732,3.0,183,2025-10-07 17:37:39+00:00,1.229,8.0,1.258,8.0
183,2025-10-07 17:37:40+00:00,2.578,3.0,5.747,3.0,184,2025-10-07 17:37:44+00:00,3.175,8.0,6.2,8.0
184,2025-10-07 17:37:45+00:00,2.187,3.0,9.25,3.0,185,2025-10-07 17:37:49+00:00,1.646,9.0,1.864,9.0
185,2025-10-07 17:37:50+00:00,2.298,3.0,3.4,3.0,186,2025-10-07 17:37:54+00:00,1.631,8.0,1.846,8.0
186,2025-10-07 17:37:55+00:00,1.718,3.0,1.811,3.0,187,2025-10-07 17:37:59+00:00,2.187,8.0,3.03,8.0
187,2025-10-07 17:38:00+00:00,1.429,3.0,1.495,3.0,188,2025-10-07 17:38:04+00:00,2.683,7.0,3.122,8.0
188,2025-10-07 17:38:05+00:00,2.711,4.0,4.538,4.0,189,2025-10-07 17:38:09+00:00,2.398,8.0,5.25,9.0
189,2025-10-07 17:38:10+00:00,2.234,4.0,3.117,4.0,190,2025-10-07 17:38:14+00:00,2.565,7.0,3.011,8.0
